2015-11-23 09:40:48,827 1860 [main] INFO  n.d.m.IntegrasjonspunktApplication - Starting IntegrasjonspunktApplication on o-kons-gbe-x250 with PID 16396 (C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt\target\classes started by kons-gbe in C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt)
2015-11-23 09:48:06,588 4217 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/target/classes/rest-servlet.xml]
2015-11-23 09:48:06,928 4557 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:48:06,929 4558 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueDao,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueDao' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:48:07,025 4654 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]]
2015-11-23 09:48:07,027 4656 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:48:07,056 4685 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver': replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2015-11-23 09:48:08,371 6000 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
2015-11-23 09:48:08,474 6103 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-11-23 09:48:08,732 6361 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.scheduling.annotation.SchedulingConfiguration' of type [class org.springframework.scheduling.annotation.SchedulingConfiguration$$EnhancerBySpringCGLIB$$e28d1bca] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:48:08,960 6589 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$723798af] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:48:08,995 6624 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionAttributeSource' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:48:09,021 6650 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionInterceptor' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:48:09,034 6663 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:48:09,783 7412 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 8085
2015-11-23 09:48:09,790 7419 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.11.v20150529
2015-11-23 09:48:10,032 7661 [main] INFO  / - Initializing Spring embedded WebApplicationContext
2015-11-23 09:48:10,033 7662 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5867 ms
2015-11-23 09:48:11,942 9571 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:48:13,462 11091 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:48:13,803 11432 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 341 ms.
2015-11-23 09:48:14,143 11772 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'queue'
2015-11-23 09:48:14,629 12258 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [queuedb/create-db.sql]
2015-11-23 09:48:14,635 12264 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [queuedb/create-db.sql] in 5 ms.
2015-11-23 09:48:14,663 12292 [main] INFO  org.eclipse.jetty.server.Server - Started @35943ms
2015-11-23 09:48:14,687 12316 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:48:14,697 12326 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:48:14,706 12335 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 9 ms.
2015-11-23 09:48:14,794 12423 [main] INFO  o.e.j.server.handler.ContextHandler - Stopped o.s.b.c.e.j.JettyEmbeddedWebAppContext@2e0fdc83{/,file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/src/main/webapp/,UNAVAILABLE}
2015-11-23 09:53:12,675 2344 [main] INFO  n.d.m.IntegrasjonspunktApplication - Starting IntegrasjonspunktApplication on o-kons-gbe-x250 with PID 8424 (C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt\target\classes started by kons-gbe in C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt)
2015-11-23 09:53:12,736 2405 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@38234a38: startup date [Mon Nov 23 09:53:12 CET 2015]; root of context hierarchy
2015-11-23 09:53:14,838 4507 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueScheduler,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueScheduler' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:14,840 4509 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:14,841 4510 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=eventLogDAO,declaringClass=no.difi.meldingsutveksling.eventlog.EventLogConfigurarion]: a definition for bean 'eventLogDAO' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:14,844 4513 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/target/classes/rest-servlet.xml]
2015-11-23 09:53:15,108 4777 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:15,109 4778 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueDao,declaringClass=no.difi.meldingsutveksling.queue.config.QueueConfig]: a definition for bean 'queueDao' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:15,214 4883 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'mvcContentNegotiationManager': replacing [Root bean: class [org.springframework.web.accept.ContentNegotiationManagerFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration; factoryMethodName=mvcContentNegotiationManager; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$EnableWebMvcConfiguration.class]]
2015-11-23 09:53:15,217 4886 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=mvcUriComponentsContributor,declaringClass=org.springframework.web.servlet.config.annotation.WebMvcConfigurationSupport]: a definition for bean 'mvcUriComponentsContributor' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:53:15,244 4913 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Overriding bean definition for bean 'beanNameViewResolver': replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]]
2015-11-23 09:53:16,659 6328 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [jdbc.properties]
2015-11-23 09:53:16,758 6427 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2015-11-23 09:53:17,071 6740 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.scheduling.annotation.SchedulingConfiguration' of type [class org.springframework.scheduling.annotation.SchedulingConfiguration$$EnhancerBySpringCGLIB$$bd82599f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:53:17,316 6985 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [class org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4d2cd684] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:53:17,349 7018 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionAttributeSource' of type [class org.springframework.transaction.annotation.AnnotationTransactionAttributeSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:53:17,374 7043 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'transactionInterceptor' of type [class org.springframework.transaction.interceptor.TransactionInterceptor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:53:17,386 7055 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.config.internalTransactionAdvisor' of type [class org.springframework.transaction.interceptor.BeanFactoryTransactionAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2015-11-23 09:53:18,114 7783 [main] INFO  o.s.b.c.e.j.JettyEmbeddedServletContainerFactory - Server initialized with port: 8085
2015-11-23 09:53:18,121 7790 [main] INFO  org.eclipse.jetty.server.Server - jetty-9.2.11.v20150529
2015-11-23 09:53:18,349 8018 [main] INFO  / - Initializing Spring embedded WebApplicationContext
2015-11-23 09:53:18,349 8018 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 5614 ms
2015-11-23 09:53:20,148 9817 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:53:21,689 11358 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:53:22,070 11739 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 380 ms.
2015-11-23 09:53:22,445 12114 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'queue'
2015-11-23 09:53:22,940 12609 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [queuedb/create-db.sql]
2015-11-23 09:53:22,945 12614 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [queuedb/create-db.sql] in 5 ms.
2015-11-23 09:53:22,974 12643 [main] INFO  org.eclipse.jetty.server.Server - Started @13346ms
2015-11-23 09:53:23,005 12674 [main] INFO  o.s.j.d.e.EmbeddedDatabaseFactory - Creating embedded database 'eventLogDB'
2015-11-23 09:53:23,022 12691 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executing SQL script from class path resource [db/schema/ddl.sql]
2015-11-23 09:53:23,032 12701 [main] INFO  o.s.j.datasource.init.ScriptUtils - Executed SQL script from class path resource [db/schema/ddl.sql] in 10 ms.
2015-11-23 09:53:23,116 12785 [main] INFO  o.e.j.server.handler.ContextHandler - Stopped o.s.b.c.e.j.JettyEmbeddedWebAppContext@49bb808f{/,file:/C:/work/meldingsutveksling-mellom-offentlige-virksomheter/integrasjonspunkt/src/main/webapp/,UNAVAILABLE}
2015-11-23 09:54:58,897 2599 [main] INFO  n.d.m.IntegrasjonspunktApplication - Starting IntegrasjonspunktApplication on o-kons-gbe-x250 with PID 9280 (C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt\target\classes started by kons-gbe in C:\work\meldingsutveksling-mellom-offentlige-virksomheter\integrasjonspunkt)
2015-11-23 09:54:58,988 2690 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@4f5991f6: startup date [Mon Nov 23 09:54:58 CET 2015]; root of context hierarchy
2015-11-23 09:55:01,287 4989 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueScheduler,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueScheduler' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:55:01,288 4990 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=queueService,declaringClass=no.difi.meldingsutveksling.config.IntegrasjonspunktBeans]: a definition for bean 'queueService' already exists. This top-level bean definition is considered as an override.
2015-11-23 09:55:01,289 4991 [main] INFO  o.s.c.a.ConfigurationClassBeanDefinitionReader - Skipping bean definition for [BeanMethod:name=eventLogDAO,declaringClass=no.difi.meldingsutveksling.eventlog.EventLogConfigurarion]: a definition for bean 'eventLogDAO' already exists. This top-level bean definition is considered as an override.
